,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,vila velha,42.03,-8.16,57.99,82,2,1.01,PT,1599439473
273,tazovskiy,67.47,78.7,47.05,96,100,5.84,RU,1599439473
274,acapulco,16.86,-99.89,82.4,83,90,4.7,MX,1599439473
275,vao,-22.67,167.48,70.79,79,100,16.67,NC,1599439473
276,victoria point,22.29,114.16,82.99,83,77,5.37,HK,1599439224
277,hazorasp,41.32,61.07,48.2,70,0,6.93,UZ,1599439474
278,bangui,4.36,18.55,73.4,94,20,2.24,CF,1599439474
279,stryn,61.9,6.72,50.0,96,53,4.27,NO,1599439474
280,broome,42.25,-75.83,64.0,72,20,6.93,US,1599439474
281,port augusta,-7.03,29.76,72.86,53,97,2.8,CD,1599439475
282,san quintin,13.3,-4.9,75.83,87,100,5.75,ML,1599439249
283,muroto,33.28,134.15,80.6,88,75,28.86,JP,1599439475
284,tuatapere,-46.13,167.68,56.52,49,33,1.19,NZ,1599439475
285,kupang,-10.17,123.58,80.6,69,20,13.87,ID,1599439476
286,vanimo,-2.67,141.3,86.52,61,0,9.17,PG,1599439476
287,weihai,37.5,122.11,78.01,78,100,15.84,CN,1599439476
288,rocha,-34.48,-54.33,43.14,91,0,3.38,UY,1599439476
289,nara,34.69,135.8,89.01,70,75,14.99,JP,1599439344
290,chapais,49.78,-74.85,50.0,87,40,5.82,CA,1599439477
291,ugoofaaru,5.67,73.0,82.36,77,100,13.62,MV,1599439477
292,sao joao da barra,20.51,76.21,73.35,90,100,3.83,IN,1599439477
293,beloha,-25.17,45.05,61.34,86,0,12.35,MG,1599439478
294,christchurch,-43.53,172.63,55.99,54,3,8.05,NZ,1599439478
295,san jose,13.3,-4.9,75.83,87,100,5.75,ML,1599439249
296,grand gaube,38.88,-109.5,100.4,6,1,9.17,US,1599439478
297,yar-sale,66.83,70.83,38.46,74,0,1.59,RU,1599439478
298,mokhsogollokh,61.47,128.92,48.34,74,100,7.92,RU,1599439479
299,hamilton,39.18,-84.53,75.0,69,1,8.19,US,1599439479
300,zverinogolovskoye,54.46,64.85,46.51,94,0,9.17,RU,1599439479
301,nyrob,60.73,56.72,48.04,94,71,1.57,RU,1599439479
302,asfi,32.3,-9.24,73.87,68,0,9.66,MA,1599439480
303,vardo,70.37,31.11,50.88,83,45,18.16,NO,1599439480
304,longyan,25.11,117.02,81.57,72,33,1.16,CN,1599439480
305,bud,39.45,-86.18,73.0,68,1,6.93,US,1599439480
306,gorin,51.2,136.67,73.2,64,9,1.07,RU,1599439481
307,athabasca,54.72,-113.29,50.92,71,100,3.94,CA,1599439481
308,khani,41.96,42.96,71.6,94,100,6.93,GE,1599439481
309,catia la mar,10.51,-66.95,82.4,78,40,4.7,VE,1599439481
310,waipawa,-41.41,175.52,55.0,66,100,21.92,NZ,1599439481
311,saldanha,-33.01,17.94,51.8,76,0,2.24,ZA,1599439482
312,ostersund,63.18,14.64,48.2,93,88,9.17,SE,1599439482
313,carbonia,39.17,8.52,72.0,94,5,5.82,IT,1599439482
314,kautokeino,69.01,23.04,41.63,84,83,3.47,NO,1599439482
315,phuket,8.0,98.25,84.0,94,40,1.12,TH,1599439483
316,port hardy,-7.03,29.76,72.86,53,97,2.8,CD,1599439277
317,charters towers,38.57,-83.43,71.6,68,1,3.36,US,1599439483
318,pisco,-13.7,-76.22,60.8,82,76,17.22,PE,1599439483
319,yambio,4.57,28.4,66.69,98,100,3.44,SS,1599439483
320,along,28.17,94.77,73.45,90,100,0.47,IN,1599439484
321,boa vista,4.43,8.97,73.83,90,97,3.2,CM,1599439484
322,nouadhibou,20.93,-17.03,78.8,69,100,18.34,MR,1599439484
323,lagoa,39.05,-27.98,68.43,75,100,23.69,PT,1599439485
324,salalah,17.02,54.09,78.8,88,75,5.82,OM,1599439485
325,ilesha,7.14,5.26,68.95,99,88,3.33,NG,1599439485
326,kurumkan,54.3,110.3,56.35,76,92,2.93,RU,1599439485
327,teguise,29.06,-13.56,73.4,83,25,13.87,ES,1599439485
328,nenjiang,49.18,125.22,64.13,79,0,5.64,CN,1599439358
329,huangpi,30.88,114.38,77.0,83,0,6.71,CN,1599439486
330,lata,40.16,-8.33,69.01,68,0,2.64,PT,1599439486
331,saint-francois,46.42,3.91,46.99,87,6,2.24,FR,1599439486
332,arica,-18.48,-70.3,60.01,76,100,1.01,CL,1599439307
333,joetsu,37.15,138.24,88.83,53,90,18.03,JP,1599439317
334,goderich,43.75,-81.72,69.01,76,100,25.34,CA,1599439358
335,xinpu,34.6,119.16,77.07,66,0,7.56,CN,1599439487
336,pimenta bueno,-20.48,-45.8,66.81,37,0,1.92,BR,1599439487
337,manta,-0.95,-80.73,73.4,83,20,13.87,EC,1599439487
338,barahona,18.21,-71.1,80.85,76,100,4.74,DO,1599439488
339,tessalit,20.2,1.01,88.72,34,11,6.08,ML,1599439488
340,talara,-4.58,-81.27,62.19,85,0,14.0,PE,1599439488
341,huntsville,34.73,-86.59,77.0,65,1,1.52,US,1599439488
342,mecca,21.43,39.83,86.61,34,0,3.02,SA,1599439293
343,kovur,14.48,79.98,81.46,80,78,4.36,IN,1599439489
344,tucuman,-26.82,-65.22,57.2,76,90,10.29,AR,1599439489
345,thinadhoo,0.53,72.93,82.58,73,100,8.21,MV,1599439489
346,narsaq,60.92,-46.05,44.6,87,100,1.12,GL,1599439489
347,yinchuan,38.47,106.27,74.01,27,66,8.37,CN,1599439490
348,lazaro cardenas,19.46,-71.33,79.0,82,100,5.44,DO,1599439490
349,ystad,55.43,13.82,51.8,81,0,6.93,SE,1599439481
350,tahta,26.77,31.5,86.0,37,0,4.7,EG,1599439490
351,quezon,7.73,125.1,84.65,67,8,1.23,PH,1599439310
352,cleveland,41.5,-81.7,71.01,60,75,9.17,US,1599439276
353,pitlochry,56.71,-3.73,53.01,87,100,2.01,GB,1599439491
354,hofn,64.25,-15.21,52.03,85,1,6.62,IS,1599439088
355,lisakovsk,52.54,62.49,48.6,89,0,10.4,KZ,1599439491
356,kavieng,-2.57,150.8,83.75,76,2,11.9,PG,1599439492
357,kousseri,12.08,15.03,73.4,94,40,4.7,CM,1599439492
358,pangkalanbuun,-2.68,111.62,80.1,85,100,2.66,ID,1599439492
359,port lincoln,-7.03,29.76,72.86,53,97,2.8,CD,1599439277
360,havre-saint-pierre,50.23,-63.6,48.2,87,1,9.17,CA,1599439493
361,washington,47.5,-120.5,93.0,20,1,15.99,US,1599439492
362,kloulklubed,7.04,134.26,86.0,74,75,8.05,PW,1599439493
363,dumraon,25.55,84.15,82.44,80,100,4.27,IN,1599439493
364,moindou,-21.69,165.68,75.2,64,100,3.36,NC,1599439493
365,nantucket,41.28,-70.1,66.2,88,1,5.82,US,1599439494
366,abu dhabi,24.6,72.7,66.78,100,0,3.18,IN,1599439494
367,marang,5.21,103.21,78.8,88,20,2.24,MY,1599439494
368,rawson,-43.3,-65.1,52.9,47,0,7.61,AR,1599439494
369,bowral,-34.47,150.42,68.0,49,0,8.05,AU,1599439494
370,roura,4.73,-52.33,78.8,88,4,4.38,GF,1599439495
371,yarmouth,41.71,-70.23,72.0,73,1,9.17,US,1599439495
372,wanning,18.8,110.4,86.31,73,100,9.1,CN,1599439495
373,evensk,61.95,159.23,50.34,64,93,8.1,RU,1599439495
374,cap malheureux,49.27,-1.21,59.0,100,0,3.36,FR,1599439496
375,wajima,37.4,136.9,86.0,66,75,3.36,JP,1599439496
376,quelimane,-17.88,36.89,65.93,90,8,5.21,MZ,1599439496
377,jacmel,18.23,-72.53,80.76,75,97,1.52,HT,1599439496
378,sao felix do xingu,20.51,76.21,73.35,90,100,3.83,IN,1599439477
379,vostok,46.49,135.88,72.18,56,95,2.21,RU,1599439497
380,leshukonskoye,64.9,45.76,56.66,96,100,5.06,RU,1599439497
381,puerto madero,36.59,-6.23,73.0,64,0,4.7,ES,1599439497
382,hazleton,40.96,-75.97,66.2,68,1,3.36,US,1599439498
383,datong,40.09,113.29,69.28,46,0,10.36,CN,1599439498
384,wamba,8.93,8.6,69.67,93,100,1.81,NG,1599439498
385,aviles,43.55,-5.92,64.0,82,20,2.24,ES,1599439499
386,cabatuan,10.88,122.49,85.28,72,100,2.15,PH,1599439499
387,bollnas,61.35,16.39,39.99,98,0,3.65,SE,1599439499
388,trofors,65.53,13.41,50.0,93,74,2.24,NO,1599439499
389,cockburn harbour,-32.08,141.0,69.8,26,0,16.11,AU,1599439455
390,pochutla,15.74,-96.47,78.8,69,75,4.76,MX,1599439500
391,ayagoz,47.97,80.44,45.82,56,63,8.46,KZ,1599439500
392,zabid,14.2,43.32,87.3,69,0,5.79,YE,1599439501
393,haines junction,59.23,-135.44,61.83,46,20,2.46,US,1599439501
394,khorixas,-20.37,14.97,62.31,38,0,3.76,NA,1599439501
395,ambunti,-4.24,142.84,88.59,58,24,3.74,PG,1599439502
396,burkburnett,34.1,-98.57,89.01,52,1,14.99,US,1599439502
397,dinard,48.63,-2.06,54.0,100,75,4.7,FR,1599439502
398,penzance,50.12,-5.54,57.0,93,100,8.05,GB,1599439503
399,misratah,32.38,15.09,78.69,77,2,15.97,LY,1599439503
400,wewak,-3.55,143.63,84.65,68,1,9.01,PG,1599439503
401,hanzhong,33.07,107.03,72.54,67,0,0.96,CN,1599439503
402,coihaique,-45.58,-72.07,42.8,75,35,3.36,CL,1599439504
403,chicontepec,20.97,-98.17,69.64,100,100,4.59,MX,1599439504
404,puerto rico,36.59,-6.23,75.2,60,0,4.7,ES,1599439399
405,vytegra,61.01,36.45,56.71,96,87,5.12,RU,1599439504
406,negru voda,42.76,9.34,71.01,88,0,4.7,FR,1599439505
407,cabo san lucas,-8.28,-35.03,77.0,69,40,10.29,BR,1599439505
408,kitimat,54.05,-128.65,66.0,84,92,1.12,CA,1599439505
409,kannur,11.87,75.36,75.2,94,40,3.36,IN,1599439506
410,salinas,36.68,-121.66,86.0,37,1,9.17,US,1599439365
411,mercedes,-34.65,-59.43,48.99,82,0,8.55,AR,1599439506
412,marsa matruh,35.88,14.5,78.8,83,0,11.41,MT,1599439506
413,glyadyanskoye,54.91,65.09,45.68,93,0,8.97,RU,1599439506
414,kulhudhuffushi,6.62,73.07,82.09,77,100,16.11,MV,1599439507
415,marsabit,2.33,37.99,61.02,84,79,19.53,KE,1599439507
416,sobolevo,54.43,31.9,59.5,97,100,3.58,RU,1599439507
417,cabinda,-5.55,12.2,72.93,90,50,7.96,AO,1599439508
418,montrose,38.42,-108.27,91.4,9,1,5.82,US,1599439508
419,birao,10.28,22.79,70.86,97,100,1.3,CF,1599439508
420,nueva loja,-1.72,-79.83,78.8,69,20,10.29,EC,1599439509
421,colesberg,-30.72,25.1,49.87,88,0,6.58,ZA,1599439509
422,dukat,62.55,155.55,37.92,91,100,5.35,RU,1599439509
423,gizo,-8.1,156.84,84.61,68,1,5.41,SB,1599439509
424,salvador,13.83,-88.92,80.6,88,40,4.7,SV,1599439510
425,ketchikan,55.34,-131.65,64.4,72,40,11.41,US,1599439510
426,skibbereen,51.55,-9.27,55.4,93,40,6.93,IE,1599439510
427,dimbokro,6.65,-4.7,70.61,98,82,4.18,CI,1599439511
428,magistralnyy,56.17,107.45,52.66,76,39,1.32,RU,1599439511
429,lieksa,63.32,30.02,52.39,91,99,8.86,FI,1599439511
430,ust-kuyga,70.02,135.6,45.14,82,100,7.54,RU,1599439512
431,yulara,-25.24,130.99,82.4,15,0,14.99,AU,1599439512
432,bilibino,68.05,166.44,45.34,57,30,4.23,RU,1599439512
433,whitianga,-36.83,175.7,57.0,81,100,8.01,NZ,1599439512
434,xining,36.62,101.77,57.27,58,0,2.35,CN,1599439513
435,raudeberg,61.99,5.14,51.01,92,75,13.78,NO,1599439513
436,tres arroyos,46.32,11.1,57.99,100,90,2.93,IT,1599439513
437,flin flon,48.5,6.66,46.4,81,0,1.12,FR,1599439514
438,aksarka,66.56,67.8,48.4,64,100,4.41,RU,1599439514
439,pacific grove,38.48,-90.74,81.0,71,0,7.76,US,1599439514
440,beyneu,45.32,55.2,59.45,49,16,14.32,KZ,1599439514
441,yatou,37.15,122.38,73.87,78,100,17.05,CN,1599439514
442,geraldton,-28.77,114.6,60.8,72,90,9.17,AU,1599439090
443,bontang,0.13,117.5,78.3,87,100,8.59,ID,1599439515
444,kapchorwa,1.4,34.45,55.85,91,18,2.64,UG,1599439515
445,togur,58.36,82.83,40.89,97,39,4.92,RU,1599439515
446,tual,-5.67,132.75,80.56,83,64,20.74,ID,1599439515
447,gravdal,68.12,13.5,50.77,83,79,3.94,NO,1599439516
448,san cristobal,13.3,-4.9,73.63,87,100,5.08,ML,1599439269
449,eyl,7.98,49.82,75.4,77,100,19.93,SO,1599439516
450,fort saint john,52.65,6.39,53.01,96,0,1.01,NL,1599439516
451,santana,-0.06,-51.18,80.6,100,75,8.05,BR,1599439516
452,fortuna,40.6,-124.16,84.0,60,1,6.93,US,1599439517
453,mirnyy,62.54,113.96,44.6,87,40,6.71,RU,1599439517
454,jacareacanga,-6.22,-57.75,83.91,38,100,2.48,BR,1599439517
455,bongaree,-27.08,153.16,71.01,65,33,3.0,AU,1599439517
456,port hedland,-7.03,29.76,72.86,53,97,2.8,CD,1599439277
457,dire,12.28,-10.97,72.54,97,100,2.68,ML,1599439518
458,netanya,32.33,34.86,79.0,83,20,2.24,IL,1599439518
459,ikalamavony,-21.15,46.58,51.82,83,10,4.94,MG,1599439518
460,siguiri,11.67,-9.5,72.1,96,100,5.3,GN,1599439518
461,belokurikha,52.0,84.99,45.25,82,66,3.53,RU,1599439519
462,rolla,37.95,-91.77,81.0,69,1,11.41,US,1599439519
463,iracoubo,5.48,-53.2,78.84,87,100,9.26,GF,1599439519
464,abha,18.22,42.51,68.0,35,0,3.83,SA,1599439085
465,emerald,-23.53,148.17,77.0,47,75,21.92,AU,1599439520
466,aleksandrovka,46.84,32.76,67.3,72,0,7.05,UA,1599439520
467,aripuana,-9.17,-60.63,81.46,23,98,0.78,BR,1599439520
468,zhangjiakou,40.81,114.88,68.02,60,0,9.24,CN,1599439520
469,zhurivka,50.5,31.78,57.2,82,0,4.47,UA,1599439520
470,tautira,-17.73,-149.15,82.4,69,75,6.93,PF,1599439521
471,iasi,47.17,27.6,63.0,77,0,4.7,RO,1599439521
472,cardston,49.2,-113.3,57.2,67,20,9.17,CA,1599439521
473,naze,28.37,129.48,82.4,78,75,10.29,JP,1599439521
474,rossano,39.58,16.63,75.0,42,0,4.54,IT,1599439522
475,longkou,37.65,120.33,74.66,75,19,11.68,CN,1599439522
476,vila franca do campo,42.03,-8.16,57.99,82,2,1.01,PT,1599439473
477,clyde river,41.3,-82.98,71.01,64,97,16.42,US,1599439522
478,puerto plata,36.59,-6.23,75.2,60,0,4.7,ES,1599439399
479,japura,-0.32,102.35,80.8,76,23,1.28,ID,1599439522
480,ust-uda,54.17,103.03,51.84,69,0,5.82,RU,1599439523
481,kilindoni,-7.91,39.67,75.45,80,51,12.91,TZ,1599439523
482,ordzhonikidze,52.44,61.74,48.92,85,0,9.44,KZ,1599439523
483,aleksandrov gay,56.4,38.71,55.92,81,100,5.3,RU,1599439523
484,najran,17.49,44.13,75.2,25,89,4.7,SA,1599439325
485,port-gentil,-0.72,8.78,75.56,80,34,10.65,GA,1599439524
486,brokopondo,4.75,-55.17,78.01,86,96,9.13,SR,1599439524
487,chumikan,54.72,135.31,57.18,89,71,9.64,RU,1599439524
488,bend,44.06,-121.32,90.0,12,0,1.99,US,1599439524
489,blackwater,-23.58,148.88,76.93,45,0,15.82,AU,1599439525
490,atasu,48.68,71.64,44.64,60,25,9.62,KZ,1599439525
491,mackay,-21.15,149.2,75.2,73,0,19.46,AU,1599439525
492,konosha,60.97,40.26,57.25,97,100,6.8,RU,1599439525
493,shubarkuduk,49.14,56.49,56.88,40,7,4.85,KZ,1599439526
494,beruwala,6.48,79.98,79.65,83,100,8.66,LK,1599439526
495,dovers,12.88,-61.18,83.07,77,0,13.47,VC,1599439526
496,northam,51.03,-4.22,54.0,93,80,3.0,GB,1599439526
497,fort nelson,52.65,6.39,53.01,96,0,1.01,NL,1599439527
498,bac lieu,45.39,19.24,60.8,87,0,5.82,RS,1599439527
499,carndonagh,55.25,-7.27,53.22,91,100,7.7,IE,1599439527
500,siilinjarvi,63.08,27.67,51.8,93,100,5.82,FI,1599439527
501,merauke,-8.47,140.33,82.56,72,58,13.8,ID,1599439528
502,erenhot,43.65,111.98,65.32,59,0,11.16,CN,1599439528
503,ambon,-3.7,128.18,77.0,94,40,6.93,ID,1599439528
504,sakaiminato,35.55,133.23,89.6,62,75,23.04,JP,1599439477
505,nemuro,43.32,145.57,75.2,88,75,6.93,JP,1599439528
506,doha,25.29,51.53,89.01,79,0,2.24,QA,1599439529
507,gerede,40.8,32.2,50.54,95,0,2.26,TR,1599439529
508,buritis,-15.62,-46.42,71.56,36,0,0.96,BR,1599439529
509,calabozo,8.92,-67.43,76.44,91,100,1.45,VE,1599439529
510,dunedin,-45.87,170.5,55.0,56,49,11.01,NZ,1599439429
511,saint-augustin,51.23,-58.65,53.35,71,0,9.31,CA,1599439530
512,isangel,-19.55,169.27,77.0,73,75,5.82,VU,1599439530
513,dawson creek,31.77,-84.45,84.2,65,1,3.36,US,1599439530
514,san lorenzo,13.3,-4.9,73.63,87,100,5.08,ML,1599439269
515,assiniboia,49.63,-105.98,60.28,34,100,14.99,CA,1599439530
516,coruripe,-10.13,-36.18,72.32,80,0,7.38,BR,1599439530
517,boali,4.8,18.13,73.4,94,20,2.24,CF,1599439531
518,chicama,-7.84,-79.15,61.38,81,35,4.18,PE,1599439531
519,byron bay,44.03,-92.65,75.2,60,1,10.29,US,1599439531
520,ascension,30.22,-90.9,84.0,83,1,3.8,US,1599439531
521,lexington,37.99,-84.48,73.4,64,1,6.93,US,1599439492
522,koumac,-20.57,164.28,75.78,65,100,6.62,NC,1599439532
523,port-cartier,50.03,-66.87,50.0,93,40,6.06,CA,1599439532
524,taoudenni,22.68,-3.98,95.63,17,0,11.86,ML,1599439532
525,wasco,35.59,-119.34,102.2,21,0,3.36,US,1599439528
526,darhan,49.49,105.92,52.84,76,0,3.33,MN,1599439533
527,talaya,61.38,152.75,50.68,66,100,4.27,RU,1599439533
528,ongandjera,-17.88,15.07,64.89,25,0,6.53,NA,1599439533
529,kamennomostskiy,44.3,40.19,60.98,84,34,4.25,RU,1599439533
530,prince rupert,52.97,-108.38,53.6,58,20,13.87,CA,1599439533
531,amga,60.9,131.96,49.41,79,82,8.08,RU,1599439534
532,gawler,-34.6,138.73,75.0,33,16,15.99,AU,1599439534
533,ler,8.3,30.14,69.53,96,100,3.31,SS,1599439534
534,keti bandar,40.87,43.84,57.2,71,0,5.82,AM,1599439534
535,lafiagi,8.87,5.42,72.59,94,98,3.47,NG,1599439535
536,morgan city,39.72,-90.22,82.99,69,1,8.05,US,1599439535
537,beringovskiy,63.05,179.32,48.54,76,49,7.74,RU,1599439535
538,monaragala,6.87,81.35,75.2,88,90,5.82,LK,1599439535
539,bibiani,6.46,-2.32,70.39,98,100,2.64,GH,1599439536
540,ahipara,-35.17,173.17,59.77,74,46,15.17,NZ,1599439536
541,bodden town,51.2,-2.52,52.0,95,100,2.19,GB,1599439536
542,bintulu,3.17,113.03,77.0,94,40,1.12,MY,1599439537
543,mount gambier,53.66,-1.85,53.01,96,100,5.14,GB,1599439537
