,City,Country,Lat,Lng,Hotel Name
0,vaini,TO,-21.2,-175.2,
1,zhigansk,RU,66.77,123.37,
2,hithadhoo,MV,-0.6,73.08,
3,cabedelo,BR,-6.98,-34.83,
4,jamestown,US,42.1,-79.24,
5,ushuaia,AR,-54.8,-68.3,
6,georgetown,MY,5.41,100.34,
7,mataura,NZ,-46.19,168.86,
8,punta arenas,PH,8.99,125.34,
9,calvia,ES,39.57,2.51,
10,nikolskoye,RU,59.7,30.79,
11,mlandizi,TZ,-6.7,38.73,
12,urumqi,CN,43.8,87.6,
13,port alfred,CD,-7.03,29.76,
14,hilo,US,19.73,-155.09,
15,castro,BR,-24.79,-50.01,
16,tasiilaq,GL,65.61,-37.64,
17,khatanga,RU,71.97,102.5,
18,tiksi,RU,71.69,128.87,
19,kashan,IR,33.98,51.44,
20,batagay,RU,67.63,134.63,
21,krasnokholm,RU,51.6,54.16,
22,mansa,IN,29.98,75.38,
23,korla,CN,41.76,86.15,
24,busselton,AU,-33.65,115.33,
25,college,US,64.86,-147.8,
26,airai,TL,-8.93,125.41,
27,natchez,US,31.56,-91.4,
28,qaanaaq,GL,77.48,-69.36,
29,alyangula,AU,-13.85,136.42,
30,palimbang,PH,6.21,124.19,
31,hermanus,ZA,-34.42,19.23,
32,masallatah,LY,32.62,14.0,
33,muhos,FI,64.81,25.99,
34,ewo,CG,-0.87,14.82,
35,srednekolymsk,RU,67.45,153.68,
36,hobart,AU,-42.88,147.33,
37,nanortalik,GL,60.14,-45.24,
38,cape town,CL,-36.41,-71.9,
39,carnarvon,AU,-24.87,113.63,
40,roros,NO,62.57,11.38,
41,sao filipe,IN,20.51,76.21,
42,namatanai,PG,-3.67,152.43,
43,arraial do cabo,BR,-22.84,-46.65,
44,mys shmidta,RU,62.06,48.62,
45,vero beach,FR,42.06,8.93,
46,nacala,MZ,-14.54,40.67,
47,yaan,NG,7.38,8.57,
48,luau,AO,-10.71,22.22,
49,rikitea,PF,-23.12,-134.97,
50,port elizabeth,CD,-7.03,29.76,
51,umarizal,BR,-5.99,-37.81,
52,ponta do sol,PT,38.73,-28.27,
53,nauta,PE,-4.51,-73.58,
54,myanaung,MM,18.28,95.32,
55,cherskiy,RU,68.75,161.3,
56,iquitos,PE,-3.75,-73.25,
57,pyaozerskiy,RU,65.83,31.17,
58,atuona,PF,-9.8,-139.03,
59,provideniya,RU,64.38,-173.3,
60,yellowknife,CA,62.46,-114.35,
61,albany,US,42.6,-73.97,
62,kieta,PG,-6.22,155.63,
63,sisimiut,GL,66.94,-53.67,
64,vanavara,RU,60.34,102.28,
65,upernavik,GL,72.79,-56.15,
66,kapaa,US,22.08,-159.32,
67,amberley,US,39.2,-84.43,
68,flinders,AU,-34.58,150.86,
69,faya,SA,18.39,42.45,
70,mar del plata,ES,43.4,-4.01,
71,husavik,IS,66.04,-17.34,
72,mahebourg,MU,-20.41,57.7,
73,tabuk,PH,17.42,121.44,
74,cayenne,GF,4.93,-52.33,
75,esperance,AU,-33.87,121.9,
76,stornoway,GB,58.21,-6.39,
77,klaksvik,FO,62.23,-6.59,
78,east london,IS,65.0,-15.0,
79,nome,US,64.5,-165.41,
80,norman wells,US,35.22,-97.44,
81,bambous virieux,MU,-20.26,57.41,
82,venado tuerto,MX,22.93,-101.08,
83,maku,IR,39.29,44.45,
84,tyukhtet,RU,56.54,89.3,
85,grand centre,US,38.88,-109.5,
86,bluff,NZ,-46.6,168.33,
87,mersing,MY,2.43,103.84,
88,asyut,EG,27.18,31.18,
89,mangalam,IN,9.77,78.67,
90,kodiak,US,57.79,-152.41,
91,namibe,AO,-15.2,12.15,
93,neiafu,TO,-18.65,-173.98,
94,ewa beach,ID,-8.62,122.51,
95,new norfolk,LR,6.65,-10.59,
96,soyo,AO,-6.13,12.37,
97,mongo,TD,12.18,18.69,
98,laguna,US,38.42,-121.42,
99,bakchar,RU,57.02,82.07,
100,butaritari,KI,3.07,172.79,
101,lavrentiya,RU,65.58,-171.0,
102,port macquarie,CD,-7.03,29.76,
103,tuktoyaktuk,CA,69.45,-133.04,
104,margate,GB,51.38,1.39,
105,alofi,NU,-19.06,-169.92,
106,praia,CV,14.92,-23.51,
107,faanui,PF,-16.48,-151.75,
108,san patricio,ML,13.3,-4.9,
109,jatai,BR,-17.88,-51.71,
110,kalat,PK,29.02,66.59,
111,petropavlovsk-kamchatskiy,RU,53.05,158.65,
112,portland,US,45.52,-122.68,
113,banjar,ID,-8.19,114.97,
114,waslala,NI,13.23,-85.38,
115,lompoc,US,34.64,-120.46,
116,richards bay,US,46.84,-95.91,
117,dolinsk,RU,47.35,142.8,
118,umarkhed,IN,19.6,77.7,
119,souillac,MU,-20.52,57.52,
120,buraydah,SA,26.33,43.98,
121,gamba,GA,-2.65,10.0,
122,ribeira grande,ES,42.75,-8.44,
123,ilulissat,GL,69.22,-51.1,
124,santa eulalia del rio,PH,17.49,120.43,
125,kaitangata,NZ,-46.28,169.85,
126,dalby,AU,-27.18,151.27,
127,fairbanks,US,64.84,-147.72,
128,pitimbu,BR,-7.47,-34.81,
129,port blair,CD,-7.03,29.76,
130,nelson bay,NZ,-41.28,173.28,
131,puerto ayora,ES,36.59,-6.23,
132,nizhniy odes,RU,45.39,39.24,
133,tazmalt,DZ,36.39,4.4,
134,hasaki,JP,35.73,140.83,
135,kamaishi,JP,39.27,141.88,
136,dikson,RU,73.51,80.55,
137,saint-philippe,RE,-21.36,55.77,
138,bathsheba,BB,13.22,-59.52,
139,camacha,PT,33.08,-16.33,
140,hobyo,SO,5.35,48.53,
141,kharan,PK,28.58,65.42,
142,san miguel el alto,ML,13.3,-4.9,
143,garissa,KE,-0.45,39.64,
144,kirovsk,UA,48.64,38.64,
145,dawlatabad,AF,36.41,64.91,
146,alice springs,US,27.75,-98.07,
148,talnakh,RU,69.49,88.4,
149,victoria,HK,22.29,114.16,
150,buala,SB,-8.14,159.59,
151,palmer,US,42.16,-72.33,
152,felanitx,ES,39.47,3.15,
153,kokkola,FI,63.84,23.13,
154,avera,US,33.19,-82.53,
155,sulangan,PH,11.14,123.72,
156,sitka,US,57.05,-135.33,
157,thompson,CA,55.74,-97.86,
158,grand river south east,US,38.88,-109.5,
159,bandarbeyla,SO,9.49,50.81,
160,necochea,AR,-38.55,-58.74,
161,kvarkeno,RU,52.08,59.73,
162,sioux lookout,US,42.73,-96.23,
163,isla mujeres,PH,15.89,120.3,
164,ginda,IN,30.69,78.49,
165,bredasdorp,ZA,-34.53,20.04,
166,arona,ES,28.1,-16.68,
167,okhotsk,RU,59.38,143.3,
168,barrow,US,71.29,-156.79,
169,avarua,CK,-21.21,-159.78,
170,kisangani,CD,0.52,25.2,
171,longyearbyen,SJ,78.22,15.64,
172,grindavik,IS,63.84,-22.43,
173,saurimo,AO,-9.66,20.39,
174,xingyi,CN,24.19,102.82,
175,ancud,CL,-41.87,-73.82,
176,surt,LY,31.21,16.59,
178,guerrero negro,MX,17.67,-100.0,
179,itarema,BR,-2.92,-39.92,
180,tongren,CN,27.72,109.19,
181,cooma,AU,-36.23,149.13,
182,hualmay,PE,-11.1,-77.61,
183,severo-kurilsk,RU,50.68,156.12,
184,omsukchan,RU,62.53,155.8,
185,madang,PG,-5.22,145.8,
186,arlit,NE,18.74,7.39,
187,kununurra,AU,-15.77,128.73,
188,timoteo,BR,-19.58,-42.64,
189,bengkulu,ID,-3.8,102.27,
190,manapparai,IN,10.6,78.42,
191,katsuura,JP,35.13,140.3,
192,chokurdakh,RU,70.63,147.92,
193,kahului,US,20.89,-156.47,
194,cockburn town,AU,-32.08,141.0,
195,salisbury,GB,51.07,-1.8,
196,linxia,CN,35.6,103.21,
197,aklavik,CA,68.22,-135.01,
198,constitucion,CL,-35.33,-72.42,
199,uvarovo,RU,51.98,42.26,
200,north bend,FR,50.33,3.67,
201,sassandra,CI,4.95,-6.08,
202,lebu,CL,-37.62,-73.65,
203,bayir,TR,37.27,28.22,
204,saskylakh,RU,71.92,114.08,
205,port hueneme,CD,-7.03,29.76,
206,cajnice,BA,43.56,19.07,
207,queanbeyan,AU,-35.35,149.23,
208,tifton,US,31.45,-83.51,
209,gat,IL,31.61,34.76,
210,coquimbo,CL,-29.95,-71.34,
211,kruisfontein,ZA,-34.0,24.73,
212,mokhotlong,LS,-29.29,29.07,
213,artyom,AZ,40.47,50.33,
214,dicabisagan,PH,17.08,122.42,
215,liepaja,LV,56.54,21.04,
216,torbay,CA,47.67,-52.73,
217,paamiut,GL,61.99,-49.67,
218,port moresby,CD,-7.03,29.76,
219,bethel,US,41.37,-73.41,
220,belaya gora,UA,49.03,25.77,
221,oranjestad,AW,12.52,-70.03,
222,paita,PE,-5.09,-81.11,
223,waddan,LY,29.16,16.14,
224,khatassy,RU,61.9,129.64,
225,poum,NC,-20.23,164.02,
226,grenaa,DK,56.42,10.88,
227,brae,GB,60.4,-1.35,
228,nha trang,NP,27.91,86.72,
229,tambura,SS,5.6,27.47,
230,maceio,BR,-9.67,-35.74,
231,bell ville,US,31.05,-97.47,
232,daru,PG,-9.08,143.21,
234,iqaluit,CA,63.75,-68.51,
235,haapsalu,EE,58.94,23.54,
236,kyra,RU,49.58,111.98,
237,codrington,AU,-38.27,141.97,
238,pevek,RU,69.7,170.31,
239,kualakapuas,ID,-3.01,114.39,
240,oskarshamn,SE,57.26,16.45,
241,olafsvik,IS,64.89,-23.71,
242,pangnirtung,CA,66.15,-65.71,
243,sur,OM,22.57,59.53,
244,zhangye,CN,38.93,100.45,
245,paralimni,CY,35.04,33.98,
246,marsh harbour,GB,53.65,-1.81,
247,waverley,ZA,-25.7,28.26,
248,leningradskiy,RU,69.38,178.42,
249,san joaquin,ML,13.3,-4.9,
250,verkhnetulomskiy,RU,68.61,31.8,
251,dolores,AR,-36.31,-57.68,
252,poso,ID,-1.4,120.75,
253,udachnyy,RU,66.42,112.4,
254,khandyga,RU,62.67,135.6,
255,rio grande,GR,38.3,21.78,
256,cidreira,BR,-30.18,-50.21,
257,matara,LK,5.95,80.54,
258,nishihara,JP,26.18,127.76,
259,maniitsoq,GL,65.42,-52.9,
260,zhuhai,CN,22.28,113.57,
261,dalbandin,PK,28.89,64.41,
262,huarmey,PE,-10.07,-78.15,
263,coahuayana,MX,18.73,-103.68,
264,abonnema,NG,4.71,6.79,
265,vila,PT,42.03,-8.16,
266,adre,TD,13.47,22.2,
267,chuy,UY,-33.7,-53.46,
268,whakatane,NZ,-37.96,176.99,
269,dingle,PH,11.0,122.67,
270,soe,ID,-9.86,124.28,
271,boma,GH,7.08,-2.17,
272,vila velha,PT,42.03,-8.16,
273,tazovskiy,RU,67.47,78.7,
274,acapulco,MX,16.86,-99.89,
275,vao,NC,-22.67,167.48,
276,victoria point,HK,22.29,114.16,
277,hazorasp,UZ,41.32,61.07,
278,bangui,CF,4.36,18.55,
279,stryn,NO,61.9,6.72,
280,broome,US,42.25,-75.83,
281,port augusta,CD,-7.03,29.76,
282,san quintin,ML,13.3,-4.9,
283,muroto,JP,33.28,134.15,
284,tuatapere,NZ,-46.13,167.68,
285,kupang,ID,-10.17,123.58,
286,vanimo,PG,-2.67,141.3,
287,weihai,CN,37.5,122.11,
288,rocha,UY,-34.48,-54.33,
289,nara,JP,34.69,135.8,
290,chapais,CA,49.78,-74.85,
291,ugoofaaru,MV,5.67,73.0,
292,sao joao da barra,IN,20.51,76.21,
293,beloha,MG,-25.17,45.05,
294,christchurch,NZ,-43.53,172.63,
295,san jose,ML,13.3,-4.9,
296,grand gaube,US,38.88,-109.5,
297,yar-sale,RU,66.83,70.83,
298,mokhsogollokh,RU,61.47,128.92,
299,hamilton,US,39.18,-84.53,
300,zverinogolovskoye,RU,54.46,64.85,
301,nyrob,RU,60.73,56.72,
302,asfi,MA,32.3,-9.24,
303,vardo,NO,70.37,31.11,
304,longyan,CN,25.11,117.02,
305,bud,US,39.45,-86.18,
306,gorin,RU,51.2,136.67,
307,athabasca,CA,54.72,-113.29,
308,khani,GE,41.96,42.96,
309,catia la mar,VE,10.51,-66.95,
310,waipawa,NZ,-41.41,175.52,
311,saldanha,ZA,-33.01,17.94,
312,ostersund,SE,63.18,14.64,
313,carbonia,IT,39.17,8.52,
314,kautokeino,NO,69.01,23.04,
315,phuket,TH,8.0,98.25,
316,port hardy,CD,-7.03,29.76,
317,charters towers,US,38.57,-83.43,
318,pisco,PE,-13.7,-76.22,
319,yambio,SS,4.57,28.4,
320,along,IN,28.17,94.77,
321,boa vista,CM,4.43,8.97,
322,nouadhibou,MR,20.93,-17.03,
323,lagoa,PT,39.05,-27.98,
324,salalah,OM,17.02,54.09,
325,ilesha,NG,7.14,5.26,
326,kurumkan,RU,54.3,110.3,
327,teguise,ES,29.06,-13.56,
328,nenjiang,CN,49.18,125.22,
329,huangpi,CN,30.88,114.38,
330,lata,PT,40.16,-8.33,
331,saint-francois,FR,46.42,3.91,
332,arica,CL,-18.48,-70.3,
333,joetsu,JP,37.15,138.24,
334,goderich,CA,43.75,-81.72,
335,xinpu,CN,34.6,119.16,
336,pimenta bueno,BR,-20.48,-45.8,
337,manta,EC,-0.95,-80.73,
338,barahona,DO,18.21,-71.1,
339,tessalit,ML,20.2,1.01,
340,talara,PE,-4.58,-81.27,
341,huntsville,US,34.73,-86.59,
342,mecca,SA,21.43,39.83,
343,kovur,IN,14.48,79.98,
344,tucuman,AR,-26.82,-65.22,
345,thinadhoo,MV,0.53,72.93,
346,narsaq,GL,60.92,-46.05,
347,yinchuan,CN,38.47,106.27,
348,lazaro cardenas,DO,19.46,-71.33,
349,ystad,SE,55.43,13.82,
350,tahta,EG,26.77,31.5,
351,quezon,PH,7.73,125.1,
352,cleveland,US,41.5,-81.7,
353,pitlochry,GB,56.71,-3.73,
354,hofn,IS,64.25,-15.21,
355,lisakovsk,KZ,52.54,62.49,
356,kavieng,PG,-2.57,150.8,
357,kousseri,CM,12.08,15.03,
358,pangkalanbuun,ID,-2.68,111.62,
359,port lincoln,CD,-7.03,29.76,
360,havre-saint-pierre,CA,50.23,-63.6,
361,washington,US,47.5,-120.5,
362,kloulklubed,PW,7.04,134.26,
363,dumraon,IN,25.55,84.15,
364,moindou,NC,-21.69,165.68,
365,nantucket,US,41.28,-70.1,
366,abu dhabi,IN,24.6,72.7,
367,marang,MY,5.21,103.21,
368,rawson,AR,-43.3,-65.1,
369,bowral,AU,-34.47,150.42,
370,roura,GF,4.73,-52.33,
371,yarmouth,US,41.71,-70.23,
372,wanning,CN,18.8,110.4,
373,evensk,RU,61.95,159.23,
374,cap malheureux,FR,49.27,-1.21,
375,wajima,JP,37.4,136.9,
376,quelimane,MZ,-17.88,36.89,
377,jacmel,HT,18.23,-72.53,
378,sao felix do xingu,IN,20.51,76.21,
379,vostok,RU,46.49,135.88,
380,leshukonskoye,RU,64.9,45.76,
381,puerto madero,ES,36.59,-6.23,
382,hazleton,US,40.96,-75.97,
383,datong,CN,40.09,113.29,
384,wamba,NG,8.93,8.6,
385,aviles,ES,43.55,-5.92,
386,cabatuan,PH,10.88,122.49,
387,bollnas,SE,61.35,16.39,
388,trofors,NO,65.53,13.41,
389,cockburn harbour,AU,-32.08,141.0,
390,pochutla,MX,15.74,-96.47,
391,ayagoz,KZ,47.97,80.44,
392,zabid,YE,14.2,43.32,
393,haines junction,US,59.23,-135.44,
395,ambunti,PG,-4.24,142.84,
396,burkburnett,US,34.1,-98.57,
397,dinard,FR,48.63,-2.06,
398,penzance,GB,50.12,-5.54,
399,misratah,LY,32.38,15.09,
400,wewak,PG,-3.55,143.63,
401,hanzhong,CN,33.07,107.03,
402,coihaique,CL,-45.58,-72.07,
403,chicontepec,MX,20.97,-98.17,
404,puerto rico,ES,36.59,-6.23,
405,vytegra,RU,61.01,36.45,
406,negru voda,FR,42.76,9.34,
407,cabo san lucas,BR,-8.28,-35.03,
408,kitimat,CA,54.05,-128.65,
409,kannur,IN,11.87,75.36,
410,salinas,US,36.68,-121.66,
411,mercedes,AR,-34.65,-59.43,
412,marsa matruh,MT,35.88,14.5,
413,glyadyanskoye,RU,54.91,65.09,
414,kulhudhuffushi,MV,6.62,73.07,
415,marsabit,KE,2.33,37.99,
416,sobolevo,RU,54.43,31.9,
417,cabinda,AO,-5.55,12.2,
418,montrose,US,38.42,-108.27,
419,birao,CF,10.28,22.79,
420,nueva loja,EC,-1.72,-79.83,
421,colesberg,ZA,-30.72,25.1,
422,dukat,RU,62.55,155.55,
423,gizo,SB,-8.1,156.84,
424,salvador,SV,13.83,-88.92,
425,ketchikan,US,55.34,-131.65,
426,skibbereen,IE,51.55,-9.27,
427,dimbokro,CI,6.65,-4.7,
428,magistralnyy,RU,56.17,107.45,
429,lieksa,FI,63.32,30.02,
430,ust-kuyga,RU,70.02,135.6,
431,yulara,AU,-25.24,130.99,
432,bilibino,RU,68.05,166.44,
433,whitianga,NZ,-36.83,175.7,
434,xining,CN,36.62,101.77,
435,raudeberg,NO,61.99,5.14,
436,tres arroyos,IT,46.32,11.1,
437,flin flon,FR,48.5,6.66,
438,aksarka,RU,66.56,67.8,
439,pacific grove,US,38.48,-90.74,
440,beyneu,KZ,45.32,55.2,
441,yatou,CN,37.15,122.38,
442,geraldton,AU,-28.77,114.6,
443,bontang,ID,0.13,117.5,
444,kapchorwa,UG,1.4,34.45,
445,togur,RU,58.36,82.83,
446,tual,ID,-5.67,132.75,
447,gravdal,NO,68.12,13.5,
448,san cristobal,ML,13.3,-4.9,
449,eyl,SO,7.98,49.82,
450,fort saint john,NL,52.65,6.39,
451,santana,BR,-0.06,-51.18,
452,fortuna,US,40.6,-124.16,
453,mirnyy,RU,62.54,113.96,
454,jacareacanga,BR,-6.22,-57.75,
455,bongaree,AU,-27.08,153.16,
456,port hedland,CD,-7.03,29.76,
457,dire,ML,12.28,-10.97,
458,netanya,IL,32.33,34.86,
459,ikalamavony,MG,-21.15,46.58,
460,siguiri,GN,11.67,-9.5,
461,belokurikha,RU,52.0,84.99,
462,rolla,US,37.95,-91.77,
463,iracoubo,GF,5.48,-53.2,
464,abha,SA,18.22,42.51,
465,emerald,AU,-23.53,148.17,
466,aleksandrovka,UA,46.84,32.76,
467,aripuana,BR,-9.17,-60.63,
468,zhangjiakou,CN,40.81,114.88,
469,zhurivka,UA,50.5,31.78,
470,tautira,PF,-17.73,-149.15,
471,iasi,RO,47.17,27.6,
472,cardston,CA,49.2,-113.3,
473,naze,JP,28.37,129.48,
474,rossano,IT,39.58,16.63,
475,longkou,CN,37.65,120.33,
476,vila franca do campo,PT,42.03,-8.16,
477,clyde river,US,41.3,-82.98,
478,puerto plata,ES,36.59,-6.23,
479,japura,ID,-0.32,102.35,
480,ust-uda,RU,54.17,103.03,
481,kilindoni,TZ,-7.91,39.67,
482,ordzhonikidze,KZ,52.44,61.74,
483,aleksandrov gay,RU,56.4,38.71,
484,najran,SA,17.49,44.13,
485,port-gentil,GA,-0.72,8.78,
486,brokopondo,SR,4.75,-55.17,
487,chumikan,RU,54.72,135.31,
488,bend,US,44.06,-121.32,
489,blackwater,AU,-23.58,148.88,
490,atasu,KZ,48.68,71.64,
491,mackay,AU,-21.15,149.2,
492,konosha,RU,60.97,40.26,
493,shubarkuduk,KZ,49.14,56.49,
494,beruwala,LK,6.48,79.98,
495,dovers,VC,12.88,-61.18,
496,northam,GB,51.03,-4.22,
497,fort nelson,NL,52.65,6.39,
498,bac lieu,RS,45.39,19.24,
499,carndonagh,IE,55.25,-7.27,
500,siilinjarvi,FI,63.08,27.67,
501,merauke,ID,-8.47,140.33,
502,erenhot,CN,43.65,111.98,
503,ambon,ID,-3.7,128.18,
504,sakaiminato,JP,35.55,133.23,
505,nemuro,JP,43.32,145.57,
506,doha,QA,25.29,51.53,
507,gerede,TR,40.8,32.2,
508,buritis,BR,-15.62,-46.42,
509,calabozo,VE,8.92,-67.43,
510,dunedin,NZ,-45.87,170.5,
511,saint-augustin,CA,51.23,-58.65,
512,isangel,VU,-19.55,169.27,
513,dawson creek,US,31.77,-84.45,
514,san lorenzo,ML,13.3,-4.9,
515,assiniboia,CA,49.63,-105.98,
516,coruripe,BR,-10.13,-36.18,
517,boali,CF,4.8,18.13,
518,chicama,PE,-7.84,-79.15,
519,byron bay,US,44.03,-92.65,
520,ascension,US,30.22,-90.9,
521,lexington,US,37.99,-84.48,
522,koumac,NC,-20.57,164.28,
523,port-cartier,CA,50.03,-66.87,
524,taoudenni,ML,22.68,-3.98,
525,wasco,US,35.59,-119.34,
526,darhan,MN,49.49,105.92,
527,talaya,RU,61.38,152.75,
529,kamennomostskiy,RU,44.3,40.19,
530,prince rupert,CA,52.97,-108.38,
531,amga,RU,60.9,131.96,
532,gawler,AU,-34.6,138.73,
533,ler,SS,8.3,30.14,
534,keti bandar,AM,40.87,43.84,
535,lafiagi,NG,8.87,5.42,
536,morgan city,US,39.72,-90.22,
537,beringovskiy,RU,63.05,179.32,
538,monaragala,LK,6.87,81.35,
539,bibiani,GH,6.46,-2.32,
540,ahipara,NZ,-35.17,173.17,
541,bodden town,GB,51.2,-2.52,
542,bintulu,MY,3.17,113.03,
543,mount gambier,GB,53.66,-1.85,
